time,.header.seq,.header.stamp.secs,secs,,.header.frame_id,.header.stamp.nsecs,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/03/09/18:22:46.392741,9568,1646846536,30.391005635,1646846566.39101,0.00590838517834,0.0220034646387,-0.9086641278,0.416905794367,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.10898950696,0.00797681231052,-0.0629619881511,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00692218970507,0.0519505924545,-0.131281685829,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.421431,9569,1646846536,30.420932845,1646846566.42093,0.00455781201153,0.0212173787235,-0.90912923258,0.415948419468,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.106160730124,0.00489252433181,-0.0653747022152,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0088616380468,0.00806276220828,-0.131236077547,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.452431,9570,1646846536,30.450807237,1646846566.45081,0.00323645518214,0.0204630284341,-0.909583869765,0.415003582742,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.103712007403,0.00686185527593,-0.0650627017021,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00470474280417,-0.0269527953677,-0.129219372869,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.486659,9571,1646846536,30.486314389,1646846566.48631,0.00196581401937,0.0197103181887,-0.910023770235,0.414082572127,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0991900637746,0.011403657496,-0.0602780431509,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.000347543880343,-0.0713650294952,-0.135831404328,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.513499,9572,1646846536,30.512740193,1646846566.51274,0.000735767669241,0.0189848535866,-0.910424136861,0.413239549174,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.09804353863,0.00608385913074,-0.0543890669942,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.018467553556,-0.109857743494,-0.124138727188,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.541477,9573,1646846536,30.540176066,1646846566.54018,-0.000452387117927,0.0182977279542,-0.910768564543,0.412511345708,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0943327620625,0.00804845523089,-0.0469868592918,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0151529862732,-0.130180737348,-0.134556711316,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.570119,9574,1646846536,30.569722435,1646846566.56972,-0.00161934175755,0.0176391928118,-0.911051661781,0.411911527122,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0909439325333,0.00662712100893,-0.0330381765962,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.010361558497,-0.157328235861,-0.127104434967,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.603127,9575,1646846536,30.601331473,1646846566.60133,-0.00274711714031,0.0170114274095,-0.911271974075,0.411444350975,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0876937583089,0.00317094475031,-0.0246437713504,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0143660241365,-0.192308326419,-0.126624378562,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.630596,9576,1646846536,30.630000288,1646846566.63,-0.00384361119372,0.0164154866568,-0.911425745078,0.411119045606,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0838121026754,0.00734168104827,-0.0147173963487,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0249760527536,-0.219683930296,-0.12517777741,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.659729,9577,1646846536,30.659309685,1646846566.65931,-0.00490225784706,0.0158535853068,-0.911507986523,0.410947468912,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0805199444294,0.00721969641745,-0.00391630548984,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0168957123533,-0.234975623488,-0.118866292834,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.689960,9578,1646846536,30.688543514,1646846566.68854,-0.00589534162291,0.0152921201862,-0.911533716703,0.410898624141,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0744971334934,0.00700247008353,0.00331262522377,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0150358592346,-0.277488316521,-0.126218581796,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.725710,9579,1646846536,30.725362258,1646846566.72536,-0.00681511188966,0.014804603778,-0.911521563912,0.410929211033,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0658582746983,0.00590866524726,0.00703703286126,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0284639168903,-0.30683885403,-0.134692366719,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.749207,9580,1646846536,30.748680655,1646846566.74868,-0.00764907640828,0.0143602715311,-0.911488649575,0.411003304034,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0613465830684,0.00373679772019,0.00986417103559,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0361213939637,-0.329202005379,-0.120155019164,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.778941,9581,1646846536,30.778474966,1646846566.77848,-0.00837158033502,0.0139511857474,-0.911453615367,0.41108099943,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0548272058368,0.00152210798115,0.00996840931475,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0296743636206,-0.348238712288,-0.120154434443,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.809705,9582,1646846536,30.808304608,1646846566.8083,-0.00898210305652,0.0136012990994,-0.911437360837,0.411115876314,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0435646101832,0.00544582773,0.00178799265996,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0401363845915,-0.376935202181,-0.122867542505,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.840385,9583,1646846536,30.839890115,1646846566.83989,-0.00945497336404,0.01332288299,-0.911447051374,0.411092905326,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0341681241989,0.00188227277249,-0.0056741037406,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0402547907084,-0.395129252225,-0.122143072486,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.871484,9584,1646846536,30.867970629,1646846566.86797,-0.00980748388833,0.0131452469407,-0.911500825626,0.410971118969,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0265885069966,0.00321291014552,-0.0106983846053,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0491299504414,-0.411140427031,-0.118441784978,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
